district,DEM_Candidate,DEM_Total,DEM_Party,REP_Candidate,REP_Total,REP_Party,overspend,district_total
34,Karen Greb,5590.0,0.0,Robert Brackett,214880.73000000004,10518.39,209290.73000000004,220470.73000000004
58,Bernard-Bernie Fensterwald,62617.57000000001,0.0,Kimberly-Kim Berfield,211347.22,17619.35,148729.65,273964.79000000004
26,Linda Kero,43132.97,0.0,Keith Truenow,179726.86,87.64,136593.88999999998,222859.83
29,Rick Karl,74380.91,0.0,Webster Barnaby,308007.74,47812.68,233626.83,382388.65
66,David Tillery,17865.0,0.0,Traci Koster,233360.09000000003,0.0,215495.09000000003,251225.09000000003
88,Jervonte-Tae Edmonds,70031.0,0.0,Roz Stevens,19122.419999999995,0.0,50908.58,89153.42
87,Sienna Osta,8907.34,0.0,Mike Caruso,323150.16000000003,60475.16,314242.82,332057.50000000006
35,Rishi Bagga,93475.30000000002,0.0,Fred Hawkins,476782.61,150255.16,383307.30999999994,570257.91
39,Tiffany Hughes,225465.43000000002,77341.04,Doug Bankson,270105.89,115092.14,44640.45999999999,495571.32000000007
82,,0.0,0.0,Lauren-Uhlich Melo,123234.18000000001,75.12,123234.18000000001,123234.18000000001
118,Johnny-Gonzalo Farias,100507.09000000001,0.0,Juan Fernandez-Barquin,509863.05999999994,173133.06,409355.9699999999,610370.1499999999
73,Derek Reich,90088.0,0.0,Fiona McFarland,389469.87,61853.0,299381.87,479557.87
70,Eleuterio-Junior Salazar Jr,0.0,0.0,Mike Beltran,168275.2,100.16,168275.2,168275.2
101,Hillary Cassel,367815.17000000004,0.0,Guy Silla,24500.0,0.0,343315.17000000004,392315.17000000004
18,,0.0,0.0,Cyndi Stevenson,99455.37000000001,100.16,99455.37000000001,99455.37000000001
24,,0.0,0.0,Joe Harding,172887.24000000022,150.24,172887.24000000022,172887.24000000022
42,Anna-V Eskamani,357159.2700000003,0.0,Bonnie Jackson,87329.81000000001,18763.51,269829.4600000003,444489.0800000003
110,,0.0,0.0,Tom Fabricio,152724.69,112.68,152724.69,152724.69
38,Sarah Henry,189329.69,63118.99,David Smith,682041.64,187011.8,492711.95,871371.3300000001
59,Dawn Douglas,2820.0,0.0,Berny Jacques,251561.01999999996,10358.140000000001,248741.01999999996,254381.01999999996
100,Linda-Thompson Gonzalez,102336.55000000002,0.0,Chip LaMarca,668037.1199999998,149567.14,565700.5699999997,770373.6699999998
40,LaVon Bracy-Davis,103450.5,0.0,Nate Robertson,41497.06,0.0,61953.44,144947.56
33,Anthony Yantz,20393.81,0.0,Randy Fine,202850.12,0.0,182456.31,223243.93
4,,0.0,0.0,Patt Maney,66523.17,75.12,66523.17,66523.17
6,,0.0,0.0,Griff Griffitts,376340.0,0.0,376340.0,376340.0
96,Dan Daley,190286.02000000002,2.0,Jenna Hague,66523.12000000001,0.0,123762.90000000001,256809.14
112,,0.0,0.0,Alex Rizo,138009.3,558.1,138009.3,138009.3
