District,LastName,FirstName,Party,Status,Primary,General,MatchType
1,Broxson,Doug,REP,Elected,Won,Won,Starts
1,Nichols,Charlie,DEM,Defeated,Unopposed,Eliminated,Starts
2,Trumbull,Jay,REP,Elected,Won,Won,Starts
2,Zonia,Carolynn,DEM,Defeated,Unopposed,Eliminated,Starts
3,Ausley,Loranne,DEM,Defeated,Unopposed,Eliminated,Starts
3,Simon,Corey,REP,Elected,Unopposed,Won,Starts
4,Smith,Sharmin,DEM,Defeated,Unopposed,Eliminated,Starts
4,Yarborough,Clay,REP,Elected,Unopposed,Won,Starts
5,Davis,Tracie,DEM,Elected,Won,Won,Starts
5,Kumar,Binod,REP,Defeated,Unopposed,Eliminated,Starts
6,Bradley,Jennifer,REP,Elected,Unopposed,Unopposed,Starts
7,Hutson,Travis,REP,Elected,Won,Unopposed,Starts
8,Williams,Andrea,DEM,Defeated,Won,Eliminated,Starts
8,Wright,Tommy A.,REP,Elected,Unopposed,Won,Starts
9,Long,Rodney,DEM,Defeated,Unopposed,Eliminated,Starts
9,Perry,Keith,REP,Elected,Unopposed,Won,Starts
10,Brodeur,Jason,REP,Elected,Won,Won,Starts
10,Goff-Marcil,Joy,DEM,Defeated,Unopposed,Eliminated,Starts
11,Ingoglia,Blaise,REP,Elected,Unopposed,Won,Starts
12,Burton,Colleen,REP,Elected,Unopposed,Won,Starts
12,Dokur,Veysel,DEM,Defeated,Unopposed,Eliminated,Starts
13,Baxley,Dennis,REP,Elected,Unopposed,Won,Starts
13,Dukes,Stephanie L.,DEM,Defeated,Unopposed,Eliminated,Starts
14,Collins,Jay,REP,Elected,Unopposed,Won,Starts
14,Cruz,Janet,DEM,Defeated,Unopposed,Eliminated,Starts
15,Thompson,Geraldine F.,DEM,Elected,Won,Unopposed,Starts
16,Paylan,Christina B.,REP,Defeated,Unopposed,Eliminated,Starts
16,Rouson,Darryl Ervin,DEM,Elected,Unopposed,Won,Starts
17,Dixon,Steve,REP,Defeated,Unopposed,Eliminated,Starts
17,Stewart,Linda,DEM,Elected,Unopposed,Won,Starts
18,DiCeglie,Nick,REP,Elected,Unopposed,Won,Starts
18,Ortiz,Eunic,DEM,Defeated,Unopposed,Eliminated,Starts
19,Mayfield,Debbie,REP,Elected,Unopposed,Unopposed,Starts
20,Boyd,Jim,REP,Elected,Won,Unopposed,Starts
21,Hooper,Ed,REP,Elected,Unopposed,Won,Starts
21,Lionheart,Amaro,DEM,Defeated,Unopposed,Eliminated,Starts
22,Gruters,Joe,REP,Elected,Won,Unopposed,Starts
23,Burgess,Danny,REP,Elected,Unopposed,Won,Starts
23,Harvey,Mike,DEM,Defeated,Unopposed,Eliminated,Starts
24,Ankner,Eric P.,REP,Defeated,Unopposed,Eliminated,Starts
24,Powell Jr,Bobby,DEM,Elected,Unopposed,Won,Starts
25,Torres Jr,Victor M.,DEM,Elected,Unopposed,Won,Starts
25,Vivaldi Jr,Peter A.,REP,Defeated,Unopposed,Eliminated,Starts
26,Berman,Lori,DEM,Elected,Unopposed,Won,Starts
26,Byers,Steve,REP,Defeated,Won,Eliminated,Starts
27,Albritton Jr,Ben,REP,Elected,Unopposed,Won,Starts
27,Proia,Christopher,DEM,Defeated,Unopposed,Eliminated,Starts
28,Passidomo,Kathleen C.,REP,Elected,Unopposed,Unopposed,Starts
29,Grall,Erin,REP,Elected,Unopposed,Unopposed,Starts
30,Polsky,Tina Scott,DEM,Elected,Unopposed,Won,Starts
30,Reicherter,"William ""Bill""",REP,Defeated,Unopposed,Eliminated,Starts
31,Harrell,Gayle,REP,Elected,Unopposed,Unopposed,Starts
32,Osgood,Rosalind,DEM,Elected,Unopposed,Unopposed,Starts
33,Martin,Jonathan,REP,Elected,Unopposed,Won,Starts
34,Jones,"Shevrin ""Shev""",DEM,Elected,Won,Unopposed,Starts
35,Book,Lauren,DEM,Elected,Won,Unopposed,Starts
36,Garcia,Ileana,REP,Elected,Unopposed,Won,Starts
36,Pacheco,Raquel,DEM,Defeated,Unopposed,Eliminated,Starts
37,Pizzo,Jason,DEM,Elected,Unopposed,Unopposed,Starts
38,Calatayud,Alexis Maria,REP,Elected,Unopposed,Won,Starts
38,Perez,Janelle,DEM,Defeated,Unopposed,Eliminated,Starts
39,Avila,Bryan,REP,Elected,Unopposed,Unopposed,Starts
40,Rodriguez,Ana Maria,REP,Elected,Unopposed,Unopposed,Starts
