District,LastName,FirstName,Party,Status,Primary,General,MatchType
1,Mathis,Franscine C.,DEM,Defeated,Unopposed,Eliminated,Starts
1,Salzman,Michelle,REP,Elected,Won,Won,Starts
2,Andrade,Alex,REP,Elected,Won,Won,Starts
2,Taylor,Carollyn Rabeca,DEM,Defeated,Unopposed,Eliminated,Starts
3,Rudman,Joel,REP,Elected,Won,Won,Starts
4,Maney,Patt,REP,Elected,Unopposed,Unopposed,Starts
5,Abbott,Shane,REP,Elected,Won,Unopposed,Starts
6,Griffitts,Griff,REP,Elected,Won,Unopposed,Starts
7,Shoaf,Jason,REP,Elected,Unopposed,Unopposed,Starts
8,Bender,Curt,REP,Defeated,Unopposed,Eliminated,Starts
8,Franklin,Gallop P.,DEM,Elected,Won,Won,Starts
9,Tant,Allison,DEM,Elected,Unopposed,Unopposed,Starts
10,Brannan,Chuck,REP,Elected,Unopposed,Unopposed,Starts
11,Garrison,Sam,REP,Elected,Unopposed,Won,Starts
11,Jones,Cornelius,DEM,Defeated,Unopposed,Eliminated,Starts
12,Duggan,Wyman,REP,Elected,Unopposed,Unopposed,Starts
13,Nixon,Angie,DEM,Elected,Won,Won,Starts
14,Daniels,Kimberly,DEM,Elected,Won,Unopposed,Starts
15,Black,Dean,REP,Elected,Won,Won,Starts
16,Michael,Kiyan,REP,Elected,Won,Won,Starts
17,Anderson,Michael,DEM,Defeated,Unopposed,Eliminated,Starts
17,Baker,Jessica,REP,Elected,Won,Won,Starts
18,Stevenson,Cyndi,REP,Elected,Unopposed,Unopposed,Starts
19,Morley,Adam,DEM,Defeated,Unopposed,Eliminated,Starts
19,Renner,Paul,REP,Elected,Unopposed,Won,Starts
20,Payne,Bobby,REP,Elected,Won,Unopposed,Starts
21,Hinson,Yvonne Hayes,DEM,Elected,Unopposed,Won,Starts
21,Merton,Hollye,REP,Defeated,Unopposed,Eliminated,Starts
22,Clemons,Chuck,REP,Elected,Won,Won,Starts
22,Peters,Brandon,DEM,Defeated,Won,Eliminated,Starts
23,MassulloJr,Ralph E.,REP,Elected,Won,Unopposed,Starts
24,Harding,Joe,REP,Elected,Unopposed,Unopposed,Starts
25,Yarkosky,Taylor,REP,Elected,Won,Won,Starts
26,Kero,Linda,DEM,Defeated,Unopposed,Eliminated,Starts
26,Truenow,Keith,REP,Elected,Unopposed,Won,Starts
27,McClain,Stan,REP,Elected,Unopposed,Unopposed,Starts
28,Leek,Tom,REP,Elected,Unopposed,Won,Starts
28,Navarra,John Clifford,DEM,Defeated,Unopposed,Eliminated,Starts
29,Barnaby,Webster,REP,Elected,Won,Won,Starts
29,Karl,Rick,DEM,Defeated,Unopposed,Eliminated,Starts
30,Tramont,Chase,REP,Elected,Won,Won,Starts
31,Sirois,Tyler,REP,Elected,Unopposed,Unopposed,Starts
32,Altman,Thad,REP,Elected,Unopposed,Unopposed,Starts
33,Fine,Randy,REP,Elected,Unopposed,Won,Starts
33,Yantz,Anthony,DEM,Defeated,Unopposed,Eliminated,Starts
34,Brackett,Robert,REP,Elected,Won,Won,Starts
34,Greb,Karen,DEM,Defeated,Unopposed,Eliminated,Starts
35,Bagga,Rishi,DEM,Defeated,Won,Eliminated,Starts
35,Hawkins,Fred,REP,Elected,Won,Won,Starts
36,Plakon,Rachel,REP,Elected,Won,Won,Starts
36,Poulalion,Deborah,DEM,Defeated,Won,Eliminated,Starts
37,Plasencia,Susan,REP,Elected,Won,Won,Starts
37,Smith,Carlos Guillermo,DEM,Defeated,Unopposed,Eliminated,Starts
38,Henry,Sarah,DEM,Defeated,Won,Eliminated,Starts
38,Smith,David,REP,Elected,Won,Won,Starts
39,Bankson,Doug,REP,Elected,Won,Won,Starts
39,Hughes,Tiffany,DEM,Defeated,Unopposed,Eliminated,Starts
40,Bracy Davis,LaVon,DEM,Elected,Won,Won,Starts
40,Robertson,Nate,REP,Defeated,Unopposed,Eliminated,Starts
41,Antone,Bruce H.,DEM,Elected,Won,Won,Starts
