year,office,district,lastname,firstname,party,status,primary_result,general_result
2022,STS,1,Broxson,Doug,REP,Elected,Won,Won
2022,STS,1,Nichols,Charlie,DEM,Defeated,Unopposed,Eliminated
2022,STS,2,Trumbull,Jay,REP,Elected,Won,Won
2022,STS,2,Zonia,Carolynn,DEM,Defeated,Unopposed,Eliminated
2022,STS,3,Ausley,Loranne,DEM,Defeated,Unopposed,Eliminated
2022,STS,3,Simon,Corey,REP,Elected,Unopposed,Won
2022,STS,4,Smith,Sharmin,DEM,Defeated,Unopposed,Eliminated
2022,STS,4,Yarborough,Clay,REP,Elected,Unopposed,Won
2022,STS,5,Davis,Tracie,DEM,Elected,Won,Won
2022,STS,5,Kumar,Binod,REP,Defeated,Unopposed,Eliminated
2022,STS,6,Bradley,Jennifer,REP,Elected,Unopposed,Unopposed
2022,STS,7,Hutson,Travis,REP,Elected,Won,Unopposed
2022,STS,8,Williams,Andrea,DEM,Defeated,Won,Eliminated
2022,STS,8,Wright,Tommy A.,REP,Elected,Unopposed,Won
2022,STS,9,Long,Rodney,DEM,Defeated,Unopposed,Eliminated
2022,STS,9,Perry,Keith,REP,Elected,Unopposed,Won
2022,STS,10,Brodeur,Jason,REP,Elected,Won,Won
2022,STS,10,Goff-Marcil,Joy,DEM,Defeated,Unopposed,Eliminated
2022,STS,11,Ingoglia,Blaise,REP,Elected,Unopposed,Won
2022,STS,12,Burton,Colleen,REP,Elected,Unopposed,Won
2022,STS,12,Dokur,Veysel,DEM,Defeated,Unopposed,Eliminated
2022,STS,13,Baxley,Dennis,REP,Elected,Unopposed,Won
2022,STS,13,Dukes,Stephanie L.,DEM,Defeated,Unopposed,Eliminated
2022,STS,14,Collins,Jay,REP,Elected,Unopposed,Won
2022,STS,14,Cruz,Janet,DEM,Defeated,Unopposed,Eliminated
2022,STS,15,Thompson,Geraldine F.,DEM,Elected,Won,Unopposed
2022,STS,16,Paylan,Christina B.,REP,Defeated,Unopposed,Eliminated
2022,STS,16,Rouson,Darryl Ervin,DEM,Elected,Unopposed,Won
2022,STS,17,Dixon,Steve,REP,Defeated,Unopposed,Eliminated
2022,STS,17,Stewart,Linda,DEM,Elected,Unopposed,Won
2022,STS,18,DiCeglie,Nick,REP,Elected,Unopposed,Won
2022,STS,18,Ortiz,Eunic,DEM,Defeated,Unopposed,Eliminated
2022,STS,19,Mayfield,Debbie,REP,Elected,Unopposed,Unopposed
2022,STS,20,Boyd,Jim,REP,Elected,Won,Unopposed
2022,STS,21,Hooper,Ed,REP,Elected,Unopposed,Won
2022,STS,21,Lionheart,Amaro,DEM,Defeated,Unopposed,Eliminated
2022,STS,22,Gruters,Joe,REP,Elected,Won,Unopposed
2022,STS,23,Burgess,Danny,REP,Elected,Unopposed,Won
2022,STS,23,Harvey,Mike,DEM,Defeated,Unopposed,Eliminated
2022,STS,24,Ankner,Eric P.,REP,Defeated,Unopposed,Eliminated
2022,STS,24,PowellJr,Bobby,DEM,Elected,Unopposed,Won
2022,STS,25,TorresJr,Victor M.,DEM,Elected,Unopposed,Won
2022,STS,25,VivaldiJr,Peter A.,REP,Defeated,Unopposed,Eliminated
2022,STS,26,Berman,Lori,DEM,Elected,Unopposed,Won
2022,STS,26,Byers,Steve,REP,Defeated,Won,Eliminated
2022,STS,27,AlbrittonJr,Ben,REP,Elected,Unopposed,Won
2022,STS,27,Proia,Christopher,DEM,Defeated,Unopposed,Eliminated
2022,STS,28,Passidomo,Kathleen C.,REP,Elected,Unopposed,Unopposed
2022,STS,29,Grall,Erin,REP,Elected,Unopposed,Unopposed
2022,STS,30,Polsky,Tina Scott,DEM,Elected,Unopposed,Won
2022,STS,30,Reicherter,"William ""Bill""",REP,Defeated,Unopposed,Eliminated
2022,STS,31,Harrell,Gayle,REP,Elected,Unopposed,Unopposed
2022,STS,32,Osgood,Rosalind,DEM,Elected,Unopposed,Unopposed
2022,STS,33,Martin,Jonathan,REP,Elected,Unopposed,Won
2022,STS,34,Jones,"Shevrin ""Shev""",DEM,Elected,Won,Unopposed
2022,STS,35,Book,Lauren,DEM,Elected,Won,Unopposed
2022,STS,36,Garcia,Ileana,REP,Elected,Unopposed,Won
2022,STS,36,Pacheco,Raquel,DEM,Defeated,Unopposed,Eliminated
2022,STS,37,Pizzo,Jason,DEM,Elected,Unopposed,Unopposed
2022,STS,38,Calatayud,Alexis Maria,REP,Elected,Unopposed,Won
2022,STS,38,Perez,Janelle,DEM,Defeated,Unopposed,Eliminated
2022,STS,39,Avila,Bryan,REP,Elected,Unopposed,Unopposed
2022,STS,40,Rodriguez,Ana Maria,REP,Elected,Unopposed,Unopposed
