district,DEM_Candidate,DEM_Total,DEM_Party,REP_Candidate,REP_Total,REP_Party,overspend,district_total
78,Howard Sapp,5010.76,0.0,Jenna Persons-Mulicka,193981.54,100.16,188970.78,198992.30000000002
17,Michael Anderson,11550.77,0.0,Jessica Baker,461433.51,10363.51,449882.74,472984.28
105,Marie Woodson,128076.85999999999,2.0,Vincent Parlatore,7556.92,0.0,120519.93999999999,135633.78
73,Derek Reich,90088.0,0.0,Fiona McFarland,389469.87,61853.0,299381.87,479557.87
97,Lisa Dunkley,16746.510000000002,0.0,,0.0,0.0,16746.510000000002,16746.510000000002
65,Jen McDonald,289615.3400000001,58385.90999999999,Karen Gonzalez-Pittman,476324.98,157637.39,186709.6399999999,765940.3200000001
118,Johnny-Gonzalo Farias,100507.09000000001,0.0,Juan Fernandez-Barquin,509863.05999999994,173133.06,409355.9699999999,610370.1499999999
67,Fentrice Driskell,350122.13,9866.24,Lisette Bonano,15772.14,10331.26,334349.99,365894.27
99,Daryl Campbell,93307.57,75.0,,0.0,0.0,93307.57,93307.57
8,Gallop-P Franklin,159525.0,0.0,Curt Bender,21500.28,0.0,138024.72,181025.28
26,Linda Kero,43132.97,0.0,Keith Truenow,179726.86,87.64,136593.88999999998,222859.83
55,,0.0,0.0,Kevin-M Steele,496538.65,10507.650000000001,496538.65,496538.65
94,Terence Davis,22062.52,0.0,Rick Roth,249373.91,95790.1,227311.39,271436.43
1,Franscine-C Mathis,3295.0,0.0,Michelle Salzman,357751.37999999995,55700.16,354456.37999999995,361046.37999999995
61,Janet Varnell-Warwick,134496.28,0.0,Linda Chaney,369459.03,97465.98000000001,234962.75000000003,503955.31000000006
69,Andrew Learned,432749.7300000001,91410.26,Daniel-Danny Alvarez,348828.54,127141.86,83921.19000000012,781578.27
91,Andy Thomson,327981.94,37634.94,Peggy Gossett-Seidman,440285.01999999996,184929.86000000002,112303.07999999996,768266.96
33,Anthony Yantz,20393.81,0.0,Randy Fine,202850.12,0.0,182456.31,223243.93
70,Eleuterio-Junior Salazar Jr,0.0,0.0,Mike Beltran,168275.2,100.16,168275.2,168275.2
34,Karen Greb,5590.0,0.0,Robert Brackett,214880.73000000004,10518.39,209290.73000000004,220470.73000000004
113,Alessandro-AJ Amico,287147.29999999993,41042.2,Vicki Lopez,444671.26,141182.26,157523.96000000008,731818.5599999999
52,Ash Marwah,27397.0,0.0,John Temple,202902.48,10363.51,175505.48,230299.48
14,Kimberly Daniels,63921.8,0.0,,0.0,0.0,63921.8,63921.8
27,,0.0,0.0,Stan McClain,52602.49,0.0,52602.49,52602.49
46,Kristen Arrington,147279.45,0.0,Christian De-La-Torre,6569.889999999999,0.0,140709.56,153849.34000000003
62,Michele-K Rayner,167253.64,0.0,Jeremy-M Brown,46032.45000000002,0.0,121221.19,213286.09000000003
120,Adam Gentle,122074.16000000003,0.0,James-Jim-V Mooney Jr,0.0,0.0,122074.16000000003,122074.16000000003
38,Sarah Henry,189329.69,63118.99,David Smith,682041.64,187011.8,492711.95,871371.3300000001
51,,0.0,0.0,Josie Tomkow,225999.68000000002,25100.16,225999.68000000002,225999.68000000002
77,Eric Engelhart,7584.439999999998,0.0,Tiffany Esposito,275783.14,10358.140000000001,268198.7,283367.58
20,,0.0,0.0,Bobby Payne,164038.53000000003,32000.16,164038.53000000003,164038.53000000003
54,Brian Staver,15371.880000000001,0.0,Randy Maggard,174564.44,100.16,159192.56,189936.32
11,Cornelius Jones,11037.419999999998,0.0,Sam Garrison,199627.46,376.94000000000005,188590.03999999998,210664.88
2,Carollyn-Rabeca Taylor,13629.130000000001,0.0,Alex Andrade,229212.81,20100.16,215583.68,242841.94
110,,0.0,0.0,Tom Fabricio,150724.69,112.68,150724.69,150724.69
32,,0.0,0.0,Thad Altman,20176.94,87.64,20176.94,20176.94
23,,0.0,0.0,Ralph-E Massullo Jr,0.0,0.0,0.0,0.0
31,,0.0,0.0,Tyler Sirois,106305.12,75.12,106305.12,106305.12
39,Tiffany Hughes,225465.43000000002,77341.04,Doug Bankson,270105.89,115092.14,44640.45999999999,495571.32000000007
50,,0.0,0.0,Jennifer Canady,335870.29,0.0,335870.29,335870.29
106,Jordan-W Leonard,274683.18,0.0,Fabian Basabe,312762.6,32981.259999999995,38079.419999999984,587445.78
103,Robin Bartleman,157975.09999999998,2.0,George Navarini,19143.189999999995,0.0,138831.90999999997,177118.28999999998
58,Bernard-Bernie Fensterwald,62617.57000000001,0.0,Kimberly-Kim Berfield,211347.22,17619.35,148729.65,273964.79000000004
21,Yvonne-Hayes Hinson,81537.07,0.0,Hollye Merton,9848.0,0.0,71689.07,91385.07
117,Kevin Chambliss,56042.04,2.0,,0.0,0.0,56042.04,56042.04
60,Lindsay Cross,372495.00000000006,54481.329999999994,Audrey Henson,207400.97999999998,127940.64,165094.02000000008,579895.98
90,Joseph-Joe Casello,54925.0,2.0,Keith-G Feit,27989.349999999995,0.0,26935.650000000005,82914.34999999999
47,Anthony Nieves,12462.36,0.0,Paula-A Stark,47317.1,10302.61,34854.74,59779.46
84,Forest-W Blanton,24352.61,0.0,Dana-Lee Trabulsy,332452.87,84525.2,308100.26,356805.48
12,,0.0,0.0,Wyman Duggan,130430.63,570.63,130430.63,130430.63
114,Adam Benna,136852.63,39844.189999999995,Demi-Busatta Cabrera,537421.81,213956.68,400569.18000000005,674274.4400000001
119,Gabriel Gonzalez,146917.25999999998,0.0,Juan-Carlos Porras,296857.0399999999,96845.01000000001,149939.77999999994,443774.29999999993
72,Roberts-Guy Dameus,6643.92,0.0,Tommy Gregory,224024.82,304.56,217380.9,230668.74000000002
86,Raymond Denzel,6889.0,0.0,John Snyder,214623.09999999998,322.87,207734.09999999998,221512.09999999998
15,,0.0,0.0,Dean Black,286636.08,10363.51,286636.08,286636.08
93,Katherine-M Waldron,128172.91,0.0,Saulis Banionis,58378.73999999999,8300.0,69794.17000000001,186551.65
104,Felicia-Simone Robinson,33536.54,0.0,,0.0,0.0,33536.54,33536.54
81,,0.0,0.0,Bob Rommel,124406.42000000001,87.64,124406.42000000001,124406.42000000001
64,Susan-L Valdes,91855.0,2.0,Maura Cruz-Lanz,27600.03,10273.88,64254.97,119455.03
115,Christie-Cantin Davis,14344.679999999993,0.0,Alina Garcia,671693.9000000001,197949.26,657349.2200000002,686038.5800000001
13,Angie Nixon,98332.14000000003,2.0,,0.0,0.0,98332.14000000003,98332.14000000003
112,,0.0,0.0,Alex Rizo,138009.3,558.1,138009.3,138009.3
98,Patricia Hawkins-Williams,45300.45,0.0,,0.0,0.0,45300.45,45300.45
53,Keith-G Laufenberg,760.0,0.0,Jeff Holcomb,224694.06000000003,0.0,223934.06000000003,225454.06000000003
92,Kelly Skidmore,140226.16999999998,2.0,Dorcas Hernandez,51910.60999999999,10274.23,88315.56,192136.77999999997
88,Jervonte-Tae Edmonds,70031.0,0.0,Roz Stevens,19122.419999999995,0.0,50908.58,89153.42
102,Michael Gottlieb,39279.5,0.0,,0.0,0.0,39279.5,39279.5
45,Allie Braswell,262411.55999999994,53250.0,Carolina Amesty,522109.55,137794.14,259697.99000000005,784521.1099999999
40,LaVon Bracy-Davis,103450.5,0.0,Nate Robertson,41497.06,0.0,61953.44,144947.56
